stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1400,1400,E HARTSDALE AVE @ COLUMBIA AVE,,41.016774,-73.796869,,,,,,0
1401,1401,E HARTSDALE AVE @ WILSON ST,,41.018166,-73.797666,,,,,,0
1406,1406,HEATHERDELL RD @ MCDOWELL PARK,SPRAIN RD & HEATHERDELL RD,41.01757,-73.827093,,,,,,0
1407,1407,SPRAIN RD @ HEATHERDELL RD,,41.017138,-73.824149,,,,,,0
1408,1408,RIDGE RD @ HILLCREST RD,,41.020585,-73.805034,,,,,,0
1409,1409,RIDGE RD @ HILLCREST RD,,41.02078,-73.805114,,,,,,0
1411,1411,W HARTSDALE AVE @ HILLCREST RD,,41.02044,-73.799742,,,,,,0
1412,1412,W HARTSDALE AVE @ MAPLEWOOD RD,,41.024796,-73.80296,,,,,,0
1413,1413,SECOR RD @ LONGFELLOW ST,,41.029056,-73.814522,,,,,,0
1414,1414,POE ST @ LYTTON AVE,,41.033271,-73.8173,,,,,,0
1415,1415,LYTON AVE @ SPENCER ST,,41.034735,-73.813308,,,,,,0
1416,1416,SPENCER CT @ KEATS AVE,,41.031577,-73.811844,,,,,,0
1417,1417,SECOR RD @ WESTWAY,,41.026147,-73.837648,,,,,,0
1418,1418,WHITE PLAINS RD @ E 233RD ST,,40.893284,-73.857139,,,,,,0
1419,1419,WHITE PLAINS RD @ NEREID AVE,,40.898389,-73.854214,,,,,,0
1420,1420,WHITE PLAINS RD @ E 238TH ST,,40.898542,-73.854342,,,,,,0
1421,1421,WHITE PLAINS RD @ E 237TH ST,,40.897432,-73.85545,,,,,,0
1422,1422,WHITE PLAINS RD @ E 233RD ST,,40.893555,-73.857462,,,,,,0
1423,1423,S 5TH Ave @ W 1ST ST,,40.911349,-73.838044,,,,,,0
1424,1424,S 5TH AVE @ W 2ND ST,,40.908962,-73.837151,,,,,,0
1425,1425,S 5TH AVE @ W 3RD ST,,40.906732,-73.836312,,,,,,0
1426,1426,E 3RD ST @ S 3RD AVE,,40.906924,-73.834461,,,,,,0
1427,1427,E 3RD ST @ S 1ST AVE,,40.907346,-73.832511,,,,,,0
1428,1428,E 3RD ST @ S FULTON AVE,,40.908331,-73.828318,,,,,,0
1429,1429,S FULTON AVE @ BEEKMAN AVE,,40.907599,-73.827694,,,,,,0
1430,1430,S FULTON AVE @ E 4TH ST,,40.905686,-73.827709,,,,,,0
1431,1431,S FULTON AVE @ E 5TH ST,,40.903468,-73.827232,,,,,,0
